State,state_abrev,Total_Area_Sq_MI,Total_Area_Sq_KM,Land_Area_Sq_MI,Land_Area_Sq_KM
United States,Total,"3,796,742","9,833,517","3,531,905","9,147,593"
Alabama,AL,"52,420","135,767","50,645","131,171"
Alaska,AK,"665,384","1,723,337","570,641","1,477,953"
Arizona,AZ,"113,990","295,234","113,594","294,207"
Arkansas,AR,"53,179","137,732","52,035","134,771"
California,CA,"163,695","423,967","155,779","403,466"
Colorado,CO,"104,094","269,601","103,642","268,431"
Connecticut,CT,"5,543","14,357","4,842","12,542"
Delaware,DE,"2,489","6,446","1,949","5,047"
District of Columbia,DC,68,177,61,158
Florida,FL,"65,758","170,312","53,625","138,887"
Georgia,GA,"59,425","153,910","57,513","148,959"
Hawaii,HI,"10,932","28,313","6,423","16,635"
Idaho,ID,"83,569","216,443","82,643","214,045"
Illinois,IL,"57,914","149,995","55,519","143,793"
Indiana,IN,"36,420","94,326","35,826","92,789"
Iowa,IA,"56,273","145,746","55,857","144,669"
Kansas,KS,"82,278","213,100","81,759","211,754"
Kentucky,KY,"40,408","104,656","39,486","102,269"
Louisiana,LA,"52,378","135,659","43,204","111,898"
Maine,ME,"35,380","91,633","30,843","79,883"
Maryland,MD,"12,406","32,131","9,707","25,142"
Massachusetts,MA,"10,554","27,336","7,800","20,202"
Michigan,MI,"96,714","250,487","56,539","146,435"
Minnesota,MN,"86,936","225,163","79,627","206,232"
Mississippi,MS,"48,432","125,438","46,923","121,531"
Missouri,MO,"69,707","180,540","68,742","178,040"
Montana,MT,"147,040","380,831","145,546","376,962"
Nebraska,NE,"77,348","200,330","76,824","198,974"
Nevada,NV,"110,572","286,380","109,781","284,332"
New Hampshire,NH,"9,349","24,214","8,953","23,187"
New Jersey,NJ,"8,723","22,591","7,354","19,047"
New Mexico,NM,"121,590","314,917","121,298","314,161"
New York,NY,"54,555","141,297","47,126","122,057"
North Carolina,NC,"53,819","139,391","48,618","125,920"
North Dakota,ND,"70,698","183,108","69,001","178,711"
Ohio,OH,"44,826","116,098","40,861","105,829"
Oklahoma,OK,"69,899","181,037","68,595","177,660"
Oregon,OR,"98,379","254,799","95,988","248,608"
Pennsylvania,PA,"46,054","119,280","44,743","115,883"
Rhode Island,RI,"1,545","4,001","1,034","2,678"
South Carolina,SC,"32,020","82,933","30,061","77,857"
South Dakota,SD,"77,116","199,729","75,811","196,350"
Tennessee,TN,"42,144","109,153","41,235","106,798"
Texas,TX,"268,596","695,662","261,232","676,587"
Utah,UT,"84,897","219,882","82,170","212,818"
Vermont,VT,"9,616","24,906","9,217","23,871"
Virginia,VA,"42,775","110,787","39,490","102,279"
Washington,WA,"71,298","184,661","66,456","172,119"
West Virginia,WV,"24,230","62,756","24,038","62,259"
Wisconsin,WI,"65,496","169,635","54,158","140,268"
Wyoming,WY,"97,813","253,335","97,093","251,470"
,,,,,