state,allocation_week,first_dose,second_dose,running_total
AK,12/14/2020,35100,35100,223080
AL,12/14/2020,40950,40950,761280
AR,12/14/2020,25350,25350,466050
AZ,12/14/2020,58500,58500,1079520
CA,12/14/2020,327600,327600,6041100
CO,12/14/2020,46800,46800,866775
CT,12/14/2020,31200,31200,578370
DC,12/14/2020,6825,6825,123045
DE,12/14/2020,8775,8775,160680
FL,12/14/2020,179400,179400,3305250
GA,12/14/2020,84825,84825,1574040
HI,12/14/2020,12675,12675,234000
IA,12/14/2020,26325,26325,488865
ID,12/14/2020,13650,13650,257790
IL,12/14/2020,136890,136890,2327130
IN,12/14/2020,55575,55575,1024335
KS,12/14/2020,24375,24375,450840
KY,12/14/2020,38025,38025,700245
LA,12/14/2020,39000,39000,725010
MA,12/14/2020,59475,59475,1102140
MD,12/14/2020,50700,50700,944580
ME,12/14/2020,12675,12675,223470
MI,12/14/2020,84825,84825,1563120
MN,12/14/2020,46800,46800,859365
MO,12/14/2020,51675,51675,954330
MS,12/14/2020,25350,25350,460980
MT,12/14/2020,9750,9750,172575
NC,12/14/2020,85800,85800,1588080
ND,12/14/2020,6825,6825,124215
NE,12/14/2020,16575,16575,297960
NH,12/14/2020,12675,12675,223470
NJ,12/14/2020,76050,76050,1393860
NM,12/14/2020,17550,17550,333450
NV,12/14/2020,25350,25350,459810
NY,12/14/2020,96525,96525,1771185
OH,12/14/2020,98475,98475,1821105
OK,12/14/2020,33150,33150,605475
OR,12/14/2020,35100,35100,657540
PA,12/14/2020,97500,97500,1789905
RI,12/14/2020,9750,9750,176085
SC,12/14/2020,42900,42900,782535
SD,12/14/2020,7800,7800,140985
TN,12/14/2020,56550,56550,1042665
TX,12/14/2020,224250,224250,4138875
UT,12/14/2020,23400,23400,436215
VA,12/14/2020,72150,72150,1320345
VT,12/14/2020,5850,5850,112905
WA,12/14/2020,62400,62400,1171755
WI,12/14/2020,49725,49725,916500
WV,12/14/2020,16575,16575,297960
WY,12/14/2020,4875,4875,97110
AK,12/21/2020,0,0,187980
AL,12/21/2020,29250,29250,720330
AR,12/21/2020,18525,18525,440700
AZ,12/21/2020,41925,41925,1021020
CA,12/21/2020,233025,233025,5713500
CO,12/21/2020,33150,33150,819975
CT,12/21/2020,22425,22425,547170
DC,12/21/2020,4875,4875,116220
DE,12/21/2020,5850,5850,151905
FL,12/21/2020,127725,127725,3125850
GA,12/21/2020,60450,60450,1489215
HI,12/21/2020,8775,8775,221325
IA,12/21/2020,19500,19500,462540
ID,12/21/2020,9750,9750,244140
IL,12/21/2020,136890,136890,2190240
IN,12/21/2020,39975,39975,968760
KS,12/21/2020,17550,17550,426465
KY,12/21/2020,27300,27300,662220
LA,12/21/2020,28275,28275,686010
MA,12/21/2020,42900,42900,1042665
MD,12/21/2020,36075,36075,893880
ME,12/21/2020,8775,8775,210795
MI,12/21/2020,60450,60450,1478295
MN,12/21/2020,33150,33150,812565
MO,12/21/2020,37050,37050,902655
MS,12/21/2020,17550,17550,435630
MT,12/21/2020,6825,6825,162825
NC,12/21/2020,61425,61425,1502280
ND,12/21/2020,4875,4875,117390
NE,12/21/2020,11700,11700,281385
NH,12/21/2020,8775,8775,210795
NJ,12/21/2020,53625,53625,1317810
NM,12/21/2020,12675,12675,315900
NV,12/21/2020,17550,17550,434460
NY,12/21/2020,68250,68250,1674660
OH,12/21/2020,70200,70200,1722630
OK,12/21/2020,23400,23400,572325
OR,12/21/2020,25350,25350,622440
PA,12/21/2020,69225,69225,1692405
RI,12/21/2020,6825,6825,166335
SC,12/21/2020,30225,30225,739635
SD,12/21/2020,5850,5850,133185
TN,12/21/2020,39975,39975,986115
TX,12/21/2020,159900,159900,3914625
UT,12/21/2020,16575,16575,412815
VA,12/21/2020,50700,50700,1248195
VT,12/21/2020,4875,4875,107055
WA,12/21/2020,44850,44850,1109355
WI,12/21/2020,35100,35100,866775
WV,12/21/2020,11700,11700,281385
WY,12/21/2020,3900,3900,92235
AK,12/28/2020,0,0,187980
AL,12/28/2020,38025,38025,691080
AR,12/28/2020,23400,23400,422175
AZ,12/28/2020,53625,53625,979095
CA,12/28/2020,297375,297375,5480475
CO,12/28/2020,42900,42900,786825
CT,12/28/2020,28275,28275,524745
DC,12/28/2020,5850,5850,111345
DE,12/28/2020,7800,7800,146055
FL,12/28/2020,162825,162825,2998125
GA,12/28/2020,77025,77025,1428765
HI,12/28/2020,11700,11700,212550
IA,12/28/2020,24375,24375,443040
ID,12/28/2020,12675,12675,234390
IL,12/28/2020,136890,136890,2053350
IN,12/28/2020,50700,50700,928785
KS,12/28/2020,22425,22425,408915
KY,12/28/2020,34125,34125,634920
LA,12/28/2020,36075,36075,657735
MA,12/28/2020,54600,54600,999765
MD,12/28/2020,46800,46800,857805
ME,12/28/2020,10725,10725,202020
MI,12/28/2020,77025,77025,1417845
MN,12/28/2020,42900,42900,779415
MO,12/28/2020,46800,46800,865605
MS,12/28/2020,22425,22425,418080
MT,12/28/2020,8775,8775,156000
NC,12/28/2020,78000,78000,1440855
ND,12/28/2020,5850,5850,112515
NE,12/28/2020,14625,14625,269685
NH,12/28/2020,10725,10725,202020
NJ,12/28/2020,68250,68250,1264185
NM,12/28/2020,16575,16575,303225
NV,12/28/2020,22425,22425,416910
NY,12/28/2020,87750,87750,1606410
OH,12/28/2020,89700,89700,1652430
OK,12/28/2020,29250,29250,548925
OR,12/28/2020,32175,32175,597090
PA,12/28/2020,88725,88725,1623180
RI,12/28/2020,8775,8775,159510
SC,12/28/2020,39000,39000,709410
SD,12/28/2020,6825,6825,127335
TN,12/28/2020,51675,51675,946140
TX,12/28/2020,203775,203775,3754725
UT,12/28/2020,21450,21450,396240
VA,12/28/2020,65325,65325,1197495
VT,12/28/2020,5850,5850,102180
WA,12/28/2020,57525,57525,1064505
WI,12/28/2020,44850,44850,831675
WV,12/28/2020,14625,14625,269685
WY,12/28/2020,4875,4875,88335
AK,1/4/2021,27300,27300,187980
AL,1/4/2021,29250,29250,653055
AR,1/4/2021,18525,18525,398775
AZ,1/4/2021,41925,41925,925470
CA,1/4/2021,232050,232050,5183100
CO,1/4/2021,33150,33150,743925
CT,1/4/2021,22425,22425,496470
DC,1/4/2021,4875,4875,105495
DE,1/4/2021,5850,5850,138255
FL,1/4/2021,126750,126750,2835300
GA,1/4/2021,60450,60450,1351740
HI,1/4/2021,8775,8775,200850
IA,1/4/2021,18525,18525,418665
ID,1/4/2021,9750,9750,221715
IL,1/4/2021,136890,136890,1916460
IN,1/4/2021,39000,39000,878085
KS,1/4/2021,17550,17550,386490
KY,1/4/2021,27300,27300,600795
LA,1/4/2021,28275,28275,621660
MA,1/4/2021,42900,42900,945165
MD,1/4/2021,36075,36075,811005
ME,1/4/2021,8775,8775,191295
MI,1/4/2021,60450,60450,1340820
MN,1/4/2021,33150,33150,736515
MO,1/4/2021,37050,37050,818805
MS,1/4/2021,17550,17550,395655
MT,1/4/2021,6825,6825,147225
NC,1/4/2021,61425,61425,1362855
ND,1/4/2021,4875,4875,106665
NE,1/4/2021,11700,11700,255060
NH,1/4/2021,8775,8775,191295
NJ,1/4/2021,53625,53625,1195935
NM,1/4/2021,12675,12675,286650
NV,1/4/2021,17550,17550,394485
NY,1/4/2021,68250,68250,1518660
OH,1/4/2021,70200,70200,1562730
OK,1/4/2021,23400,23400,519675
OR,1/4/2021,25350,25350,564915
PA,1/4/2021,69225,69225,1534455
RI,1/4/2021,6825,6825,150735
SC,1/4/2021,30225,30225,670410
SD,1/4/2021,5850,5850,120510
TN,1/4/2021,39975,39975,894465
TX,1/4/2021,158925,158925,3550950
UT,1/4/2021,16575,16575,374790
VA,1/4/2021,50700,50700,1132170
VT,1/4/2021,3900,3900,96330
WA,1/4/2021,44850,44850,1006980
WI,1/4/2021,35100,35100,786825
WV,1/4/2021,11700,11700,255060
WY,1/4/2021,3900,3900,83460
AK,1/11/2021,0,0,160680
AL,1/11/2021,29250,29250,623805
AR,1/11/2021,18525,18525,380250
AZ,1/11/2021,41925,41925,883545
CA,1/11/2021,233025,233025,4951050
CO,1/11/2021,33150,33150,710775
CT,1/11/2021,22425,22425,474045
DC,1/11/2021,4875,4875,100620
DE,1/11/2021,5850,5850,132405
FL,1/11/2021,127725,127725,2708550
GA,1/11/2021,60450,60450,1291290
HI,1/11/2021,8775,8775,192075
IA,1/11/2021,19500,19500,400140
ID,1/11/2021,9750,9750,211965
IL,1/11/2021,136890,136890,1779570
IN,1/11/2021,39975,39975,839085
KS,1/11/2021,17550,17550,368940
KY,1/11/2021,27300,27300,573495
LA,1/11/2021,28275,28275,593385
MA,1/11/2021,42900,42900,902265
MD,1/11/2021,36075,36075,774930
ME,1/11/2021,8775,8775,182520
MI,1/11/2021,60450,60450,1280370
MN,1/11/2021,33150,33150,703365
MO,1/11/2021,37050,37050,781755
MS,1/11/2021,17550,17550,378105
MT,1/11/2021,6825,6825,140400
NC,1/11/2021,61425,61425,1301430
ND,1/11/2021,4875,4875,101790
NE,1/11/2021,11700,11700,243360
NH,1/11/2021,8775,8775,182520
NJ,1/11/2021,53625,53625,1142310
NM,1/11/2021,12675,12675,273975
NV,1/11/2021,17550,17550,376935
NY,1/11/2021,68250,68250,1450410
OH,1/11/2021,70200,70200,1492530
OK,1/11/2021,23400,23400,496275
OR,1/11/2021,25350,25350,539565
PA,1/11/2021,69225,69225,1465230
RI,1/11/2021,6825,6825,143910
SC,1/11/2021,30225,30225,640185
SD,1/11/2021,5850,5850,114660
TN,1/11/2021,39975,39975,854490
TX,1/11/2021,159900,159900,3392025
UT,1/11/2021,16575,16575,358215
VA,1/11/2021,50700,50700,1081470
VT,1/11/2021,4875,4875,92430
WA,1/11/2021,57525,57525,962130
WI,1/11/2021,35100,35100,751725
WV,1/11/2021,11700,11700,243360
WY,1/11/2021,3900,3900,79560
AK,1/18/2021,0,0,160680
AL,1/18/2021,30225,30225,594555
AR,1/18/2021,18525,18525,361725
AZ,1/18/2021,42900,42900,841620
CA,1/18/2021,241800,241800,4718025
CO,1/18/2021,35100,35100,677625
CT,1/18/2021,23400,23400,451620
DC,1/18/2021,4875,4875,95745
DE,1/18/2021,6825,6825,126555
FL,1/18/2021,132600,132600,2580825
GA,1/18/2021,63375,63375,1230840
HI,1/18/2021,9750,9750,183300
IA,1/18/2021,19500,19500,380640
ID,1/18/2021,10725,10725,202215
IL,1/18/2021,136890,136890,1642680
IN,1/18/2021,40950,40950,799110
KS,1/18/2021,18525,18525,351390
KY,1/18/2021,28275,28275,546195
LA,1/18/2021,29250,29250,565110
MA,1/18/2021,43875,43875,859365
MD,1/18/2021,38025,38025,738855
ME,1/18/2021,8775,8775,173745
MI,1/18/2021,62400,62400,1219920
MN,1/18/2021,34125,34125,670215
MO,1/18/2021,38025,38025,744705
MS,1/18/2021,18525,18525,360555
MT,1/18/2021,6825,6825,133575
NC,1/18/2021,63375,63375,1240005
ND,1/18/2021,4875,4875,96915
NE,1/18/2021,11700,11700,231660
NH,1/18/2021,8775,8775,173745
NJ,1/18/2021,55575,55575,1088685
NM,1/18/2021,13650,13650,261300
NV,1/18/2021,18525,18525,359385
NY,1/18/2021,71175,71175,1382160
OH,1/18/2021,73125,73125,1422330
OK,1/18/2021,24375,24375,472875
OR,1/18/2021,26325,26325,514215
PA,1/18/2021,71175,71175,1396005
RI,1/18/2021,6825,6825,137085
SC,1/18/2021,31200,31200,609960
SD,1/18/2021,5850,5850,108810
TN,1/18/2021,41925,41925,814515
TX,1/18/2021,165750,165750,3232125
UT,1/18/2021,17550,17550,341640
VA,1/18/2021,52650,52650,1030770
VT,1/18/2021,4875,4875,87555
WA,1/18/2021,46800,46800,904605
WI,1/18/2021,37050,37050,716625
WV,1/18/2021,11700,11700,231660
WY,1/18/2021,3900,3900,75660
AK,1/25/2021,0,0,160680
AL,1/25/2021,30225,30225,564330
AR,1/25/2021,18525,18525,343200
AZ,1/25/2021,42900,42900,798720
CA,1/25/2021,241800,241800,4476225
CO,1/25/2021,35100,35100,642525
CT,1/25/2021,23400,23400,428220
DC,1/25/2021,4875,4875,90870
DE,1/25/2021,6825,6825,119730
FL,1/25/2021,132600,132600,2448225
GA,1/25/2021,63375,63375,1167465
HI,1/25/2021,9750,9750,173550
IA,1/25/2021,19500,19500,361140
ID,1/25/2021,10725,10725,191490
IL,1/25/2021,136890,136890,1505790
IN,1/25/2021,40950,40950,758160
KS,1/25/2021,18525,18525,332865
KY,1/25/2021,28275,28275,517920
LA,1/25/2021,29250,29250,535860
MA,1/25/2021,43875,43875,815490
MD,1/25/2021,38025,38025,700830
ME,1/25/2021,8775,8775,164970
MI,1/25/2021,62400,62400,1157520
MN,1/25/2021,34125,34125,636090
MO,1/25/2021,38025,38025,706680
MS,1/25/2021,18525,18525,342030
MT,1/25/2021,6825,6825,126750
NC,1/25/2021,63375,63375,1176630
ND,1/25/2021,4875,4875,92040
NE,1/25/2021,11700,11700,219960
NH,1/25/2021,8775,8775,164970
NJ,1/25/2021,55575,55575,1033110
NM,1/25/2021,13650,13650,247650
NV,1/25/2021,18525,18525,340860
NY,1/25/2021,71175,71175,1310985
OH,1/25/2021,73125,73125,1349205
OK,1/25/2021,24375,24375,448500
OR,1/25/2021,26325,26325,487890
PA,1/25/2021,71175,71175,1324830
RI,1/25/2021,6825,6825,130260
SC,1/25/2021,31200,31200,578760
SD,1/25/2021,5850,5850,102960
TN,1/25/2021,41925,41925,772590
TX,1/25/2021,165750,165750,3066375
UT,1/25/2021,17550,17550,324090
VA,1/25/2021,52650,52650,978120
VT,1/25/2021,4875,4875,82680
WA,1/25/2021,46800,46800,857805
WI,1/25/2021,37050,37050,679575
WV,1/25/2021,11700,11700,219960
WY,1/25/2021,3900,3900,71760
AK,2/1/2021,27300,27300,160680
AL,2/1/2021,30225,30225,534105
AR,2/1/2021,18525,18525,324675
AZ,2/1/2021,42900,42900,755820
CA,2/1/2021,240825,240825,4234425
CO,2/1/2021,34125,34125,607425
CT,2/1/2021,23400,23400,404820
DC,2/1/2021,4875,4875,85995
DE,2/1/2021,6825,6825,112905
FL,2/1/2021,131625,131625,2315625
GA,2/1/2021,62400,62400,1104090
HI,2/1/2021,9750,9750,163800
IA,2/1/2021,19500,19500,341640
ID,2/1/2021,10725,10725,180765
IL,2/1/2021,136890,136890,1368900
IN,2/1/2021,40950,40950,717210
KS,2/1/2021,17550,17550,314340
KY,2/1/2021,28275,28275,489645
LA,2/1/2021,29250,29250,506610
MA,2/1/2021,43875,43875,771615
MD,2/1/2021,38025,38025,662805
ME,2/1/2021,8775,8775,156195
MI,2/1/2021,62400,62400,1095120
MN,2/1/2021,34125,34125,601965
MO,2/1/2021,38025,38025,668655
MS,2/1/2021,18525,18525,323505
MT,2/1/2021,6825,6825,119925
NC,2/1/2021,63375,63375,1113255
ND,2/1/2021,4875,4875,87165
NE,2/1/2021,11700,11700,208260
NH,2/1/2021,8775,8775,156195
NJ,2/1/2021,55575,55575,977535
NM,2/1/2021,13650,13650,234000
NV,2/1/2021,18525,18525,322335
NY,2/1/2021,70200,70200,1239810
OH,2/1/2021,72150,72150,1276080
OK,2/1/2021,24375,24375,424125
OR,2/1/2021,26325,26325,461565
PA,2/1/2021,71175,71175,1253655
RI,2/1/2021,6825,6825,123435
SC,2/1/2021,31200,31200,547560
SD,2/1/2021,5850,5850,97110
TN,2/1/2021,41925,41925,730665
TX,2/1/2021,164775,164775,2900625
UT,2/1/2021,17550,17550,306540
VA,2/1/2021,52650,52650,925470
VT,2/1/2021,4875,4875,77805
