State,State Abbreviation,State FIPS Code,Closed K-12 public schools,Closed day cares,Banned visitors to nursing homes,Closed other non-essential businesses,Closed restaurants except take out,Closed gyms,Closed movie theaters,Closed bars,Closed casinos,Mention of Tribal Casinos,,School & day care notes,Nursing home notes,Business notes,Casino notes,,,,,,,,,,,,,
Alabama,AL,1,3/20/2020,3/20/2020,3/19/2020,3/28/2020,3/19/2020,3/28/2020,3/28/2020,3/19/2020,03/28/20,0,,,,,,,,,,,,,,,,,,
Alaska,AK,2,3/16/2020,0,0,3/24/2020,3/18/2020,3/18/2020,3/18/2020,3/18/2020,0,0,,,,AK - Some businesses allowed to operate at minimum basic operations despite order to close non-essential businesses,,,,,,,,,,,,,,
Arizona,AZ,4,3/16/2020,0,0,3/31/2020,3/21/2020,3/21/2020,3/21/2020,3/21/2020,0,0,,,,,AZ- casinos temp closed but the decision was left up to sovereing tribal nations. Not a statewide mandate,,,,,,,,,,,,,
Arkansas,AR,5,3/17/2020,0,3/13/2020,4/6/2020,3/20/2020,3/20/2020,3/20/2020,3/20/2020,03/17/2020,0,,,,,,,,,,,,,,,,,,
California,CA,6,3/23/2020,0,0,3/19/2020,3/16/2020,3/19/2020,3/19/2020,3/16/2020,0,0,,,,CA - Restaurants and non-essential businesses closed with stay-at-home order,,,,,,,,,,,,,,
Colorado,CO,8,3/23/2020,0,3/12/2020,3/19/2020,3/17/2020,3/17/2020,3/17/2020,3/17/2020,03/17/2020,0,,,,,"CO- local ""variances"" allowed certain county re-openings no statewide opening order as of 11/30/2020",,,,,,,,,,,,,
Connecticut,CT,9,3/17/2020,0,3/9/2020,3/23/2020,3/16/2020,3/16/2020,3/16/2020,3/16/2020,0,1,,,,,CT- governor negotiated with tribal casinos for their closing and reopening of tribal casinos. The only non-tribal gaming is OTB. ,,,,,,,,,,,,,
Delaware,DE,10,3/16/2020,4/6/2020,0,3/24/2020,3/16/2020,3/19/2020,3/19/2020,3/16/2020,03/16/2020,0,,DE - Day cares only remained open for children of essential workers,,,,,,,,,,,,,,,,
District of Columbia,DC,11,3/16/2020,0,0,3/25/2020,3/16/2020,3/17/2020,3/17/2020,3/16/2020,0,0,,,,,,,,,,,,,,,,,,
Florida,FL,12,3/17/2020,0,3/15/2020,4/3/2020,4/3/2020,4/3/2020,4/3/2020,3/17/2020,0,0,,,,,,,,,,,,,,,,,,
Georgia,GA,13,3/18/2020,0,4/3/2020,4/3/2020,4/3/2020,4/3/2020,4/3/2020,3/24/2020,0,0,,,,"GA - Governor ordered non-essential businesses to operate at minimum basic operations, but did not order them to close",GA- All casinos in the state are on boats/cruises,,,,,,,,,,,,,
Hawaii,HI,15,3/16/2020,0,3/17/2020,3/25/2020,3/17/2020,3/25/2020,3/17/2020,3/17/2020,0,0,,,,,,,,,,,,,,,,,,
Idaho,ID,16,3/24/2020,0,0,3/25/2020,3/25/2020,3/25/2020,3/25/2020,3/25/2020,0,0,,,,,,,,,,,,,,,,,,
Illinois,IL,17,3/17/2020,3/23/2020,0,3/21/2020,3/16/2020,3/21/2020,3/21/2020,3/16/2020,03/16/2020,0,,IL - Day cares only remained open for children of essential workers,,,,,,,,,,,,,,,,
Indiana,IN,18,3/20/2020,0,0,3/25/2020,3/16/2020,3/25/2020,3/25/2020,3/16/2020,3/16/20,0,,,,,IN- no closing/opening mandate EO's but press releases confirmed these dates. ,,,,,,,,,,,,,
Iowa,IA,19,4/2/2020,0,0,3/26/2020,3/17/2020,3/17/2020,3/17/2020,3/17/2020,03/16/2020,0,,IA - Governor recommended schools close 5/15; Ordered schools to close 4/2,,IA - Order to close non-essential businesses only mentions retail/personal care businesses,,,,,,,,,,,,,,
Kansas,KS,20,3/18/2020,0,0,3/30/2020,3/30/2020,3/30/2020,3/30/2020,3/30/2020,05/04/2020,1,,,,KS - Statewide stay-at-home order went into effect 3/30/20 and closed all non-essential businesses,,,,,,,,,,,,,,
Kentucky,KY,21,3/17/2020,3/23/2020,0,3/26/2020,3/16/2020,3/18/2020,3/18/2020,3/16/2020,0,0,,,,,,,,,,,,,,,,,,
Louisiana,LA,22,3/16/2020,0,3/12/2020,3/23/2020,3/17/2020,3/17/2020,3/17/2020,3/17/2020,03/17/2020,0,,,,,,,,,,,,,,,,,,
Maine,ME,23,4/2/2020,0,0,3/25/2020,3/18/2020,3/25/2020,3/25/2020,3/18/2020,0,0,,ME - Order to close schools came after schools had already voluntarily closed statewide,,,,,,,,,,,,,,,,
Maryland,MD,24,3/16/2020,3/30/2020,4/5/2020,3/23/2020,3/16/2020,3/16/2020,3/16/2020,3/16/2020,03/16/2020,0,,,,,,,,,,,,,,,,,,
Massachusetts,MA,25,3/17/2020,3/23/2020,3/16/2020,3/24/2020,3/17/2020,3/24/2020,3/24/2020,3/17/2020,3/14/20,0,,,,,"MA- 3/14 Massachusetts Gaming Commission voted unanimously to temporarily suspend operation at the state’s three casino properties, including Encore Boston Harbor, MGM Springfield and Plainridge Park Casino. 3/24 EO also included language suspending operations for Casino's in MA. ",,,,,,,,,,,,,
Michigan,MI,26,3/16/2020,3/24/2020,3/14/2020,3/24/2020,3/16/2020,3/16/2020,3/16/2020,3/16/2020,03/16/2020,0,,,,,,,,,,,,,,,,,,
Minnesota,MN,27,3/18/2020,0,0,3/28/2020,3/17/2020,3/17/2020,3/17/2020,3/17/2020,0,0,,,MN - 3/16 EO allowed veterans homes to implement CMS guidelines from 3/13; no formal EOs regarding closure of nursing homes outside of this category,,,,,,,,,,,,,,,
Mississippi,MS,28,3/20/2020,0,3/24/2020,4/3/2020,4/3/2020,4/3/2020,4/3/2020,4/3/2020,03/16/2020,0,,,,MS - 10 people or less allowed at bars,,,,,,,,,,,,,,
Missouri,MO,29,3/23/2020,0,3/23/2020,4/3/2020,3/23/2020,4/3/2020,4/3/2020,3/23/2020,03/17/2020,0,,MO - Order to close schools came after most schools had already closed,,,,,,,,,,,,,,,,
Montana,MT,30,3/16/2020,0,3/15/2020,3/28/2020,3/20/2020,3/20/2020,3/20/2020,3/20/2020,03/20/2020,0,,,,,,,,,,,,,,,,,,
Nebraska,NE,31,4/3/2020,0,0,4/9/2020,4/3/2020,4/3/2020,4/9/2020,4/3/2020,0,0,,NE - Schools closed in some counties 3/23; order to close schools extended to all counties 4/3,,NE - Non-essential retail was not ordered to be closed but personal care services like nail salons and hairdressers were; 4/3 order set rules for how gyms could remain open (but never closed gyms) and capped gatherings in indoor theaters at 10 persons,,,,,,,,,,,,,,
Nevada,NV,32,3/16/2020,0,0,3/21/2020,3/21/2020,3/21/2020,3/21/2020,3/21/2020,03/17/2020,0,,,,,,,,,,,,,,,,,,
New Hampshire,NH,33,3/16/2020,0,3/16/2020,3/28/2020,3/16/2020,3/28/2020,3/28/2020,3/16/2020,0,0,,,,,,,,,,,,,,,,,,
New Jersey,NJ,34,3/18/2020,3/18/2020,6/19/2020,3/21/2020,3/16/2020,3/16/2020,3/16/2020,3/16/2020,03/16/2020,0,,,,"NJ - Bars not technically closed, but most in person alcohol sales prohibited",,,,,,,,,,,,,,
New Mexico,NM,35,3/16/2020,0,3/13/2020,3/24/2020,3/20/2020,3/19/2020,3/19/2020,3/19/2020,03/16/2020,1,,,,,NM- order excludes casinos on tribal land. ,,,,,,,,,,,,,
New York,NY,36,3/18/2020,0,3/13/2020,3/22/2020,3/17/2020,3/16/2020,3/16/2020,3/16/2020,03/16/2020,1,,,,,,,,,,,,,,,,,,
North Carolina,NC,37,3/16/2020,0,3/25/2020,3/30/2020,3/18/2020,3/25/2020,3/25/2020,3/17/2020,0,0,,,,,"NC- Tribal Casinos only. Chose to close March 18th. No state orders enforcing this decision though the 3/25/2020 EO including closing of gaming venues, it did not apply to tribal governemnts. ",,,,,,,,,,,,,
North Dakota,ND,38,3/16/2020,0,4/6/2020,3/20/2020,3/21/2020,3/20/2020,3/20/2020,3/20/2020,0,0,,,,"ND - Started closing non-essential businesses statewide on 3/20 but did not release EO until 3/27, which listed the dates of all closures that had happened until that point",,,,,,,,,,,,,,
Ohio,OH,39,3/17/2020,3/26/2020,3/11/2020,3/24/2020,3/16/2020,3/17/2020,3/17/2020,3/15/2020,0,0,,,,,"OH- Governor/State Casino Control Commission told casinos they had to comply with no ""mass gathering rules,"" not that they had to shut down, but casinos chose to shut down from March until June on their own.",,,,,,,,,,,,,
Oklahoma,OK,40,3/17/2020,0,3/24/2020,4/1/2020,4/1/2020,4/1/2020,4/1/2020,4/1/2020,0,0,,,,,,,,,,,,,,,,,,
Oregon,OR,41,3/16/2020,3/25/2020,3/16/2020,3/23/2020,3/18/2020,3/24/2020,3/24/2020,3/17/2020,0,0,,,,"OR - Closed non-essential retail 3/24/2020, but did not mandate non-retail closures","OR- 3/24/2020 order closed ""non-tribal card rooms"" ",,,,,,,,,,,,,
Pennsylvania,PA,42,3/16/2020,3/17/2020,3/17/2020,3/21/2020,3/18/2020,3/21/2020,3/21/2020,3/18/2020,3/17/20,0,,,,PA - Bar closures began in some counties on 3/16,PA- The PA gaming control board closed all casinos in the state on 3/17/2020 ahead of the EO closing non-essential buisnesses in the state.,,,,,,,,,,,,,
Rhode Island,RI,44,0,3/16/2020,3/13/2020,3/30/2020,3/18/2020,3/23/2020,3/23/2020,3/17/2020,03/22/2020,0,,RI - Order to close schools came after schools had already closed statewide,,RI - Order to close non-essential businesses only applied to retail closures,,,,,,,,,,,,,,
South Carolina,SC,45,3/16/2020,0,3/15/2020,4/1/2020,3/19/2020,4/1/2020,4/1/2020,3/18/2020,4/1/20,0,,,,"SC - Order to close non-essential businesses mostly applied to retail, entertainment venues & athletic facilities",SC- All casinos in the state are on boats/cruises,,,,,,,,,,,,,
South Dakota,SD,46,3/16/2020,0,0,0,0,0,0,0,0,1,,,,"SD - EO states that non-essential businesses ""should"" be open only to maximum of 10 people but does not specify enforcement of this",SD- No buisness was ever required to close in SD. ,,,,,,,,,,,,,
Tennessee,TN,47,3/20/2020,0,3/23/2020,4/1/2020,3/24/2020,3/23/2020,3/23/2020,3/23/2020,0,0,,"TN - Schools recommended to close by governor, but all school districts complied",,,,,,,,,,,,,,,,
Texas,TX,48,3/21/2020,0,3/21/2020,4/2/2020,3/21/2020,3/21/2020,4/2/2020,3/21/2020,0,0,,,,,,,,,,,,,,,,,,
Utah,UT,49,3/16/2020,0,0,3/27/2020,3/20/2020,3/27/2020,3/27/2020,3/19/2020,0,0,,,UT - State issued a health order for nursing homes to follow guidance from CMS on 3/19; 4/1 order suggested limiting visits to nursing homes and long term facilities,UT - 3/27 order never explicitly closed gyms and theaters but did say 'do not travel to...'; UT later issued orders explicitly opening these businesses,,,,,,,,,,,,,,
Vermont,VT,50,3/18/2020,3/18/2020,3/13/2020,3/25/2020,3/18/2020,3/23/2020,3/25/2020,3/17/2020,0,0,,,,,,,,,,,,,,,,,,
Virginia,VA,51,3/16/2020,0,0,3/25/2020,3/26/2020,3/25/2020,3/25/2020,3/25/2020,0,0,,,,,,,,,,,,,,,,,,
Washington,WA,53,3/17/2020,0,3/16/2020,3/25/2020,3/16/2020,3/16/2020,3/16/2020,3/17/2020,0,0,,,,,,,,,,,,,,,,,,
West Virginia,WV,54,3/16/2020,3/26/2020,8/13/2020,3/24/2020,3/19/2020,3/19/2020,3/24/2020,3/18/2020,03/18/2020,0,,,,,,,,,,,,,,,,,,
Wisconsin,WI,55,3/18/2020,0,0,3/25/2020,3/18/2020,3/25/2020,3/25/2020,3/17/2020,0,0,,,,,,,,,,,,,,,,,,
Wyoming,WY,56,3/19/2020,3/19/2020,0,3/19/2020,3/19/2020,3/19/2020,3/19/2020,3/19/2020,0,0,,,,,,,,,,,,,,,,,,
Total with each policy (out of 51 with DC),,,50,15,31,50,50,50,50,50,23,5,,,,,,,,,,,,,,,,,,
,,,"Did not require executive order if department of education closed all public schools. If spring break prior to closure, considered closure to begin on first day of spring break. If closure announced on weekend, first week day closed is listed. If closure announced in evening, considered to apply to next day. Some states only applied order to public schools.","If closure announced in evening, considered to apply to next day. If closure announced on weekend, first week day closed is listed.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Checked against: https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,Checked against: https://www.childcareaware.org/,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"If not specified in order, the date of closure was the first school day after a closure order was signed",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
